File Name,File Version,Update Date,Region Code,State Code,Date Type,Date,Population age 18-64*,SSA Disability Beneficiaries  age 18-64*,Percent of Adult Population Receiving SSA Adult Disability Benefits,Eligible Adult Population*,Adult Receipts,Eligible Adult Population Filing Rate,Favorable Adult Determinations,Eligible Adult Population Allowance Rate,All Adult Determinations,Adult Favorable  Determination Rate,Population under age 18*,SSI Disabled Child (DC) Beneficiaries*,Percent of Population under age 18 Receiving SSI DC Benefits,Eligible Child Population*,SSI Disabled Child (DC) Receipts,Eligible Child Population Filing Rate,Favorable SSI Child (DC) Determinations,Eligible Child Population Allowance Rate,All SSI Disabled Child Determinations,SSI Disabled Child Allowance Rate,All Determinations,All Favorable Determinations,Favorable Determination Rate
SSA-SA-FYWL.csv,2,3/13/2023,KCM,NE ,FY,2010,1123922,53490,4.63,1070432,11700,1.11,4361,0.41,11289,38.63,458894,4075,0.88,454819,1730,0.39,777,0.17,1751,44.37,13040,5138,39.4
SSA-SA-FYWL.csv,2,3/13/2023,BOS,NH ,FY,2010,851011,54152,5.93,796859,10039,1.25,5309,0.66,10745,49.41,286377,2397,0.79,283980,929,0.32,471,0.16,932,50.54,11677,5780,49.5
SSA-SA-FYWL.csv,2,3/13/2023,NYC,NJ ,FY,2010,5547000,262272,4.57,5284728,50253,0.96,21060,0.4,45143,46.65,2062462,24853,1.19,2037609,9224,0.46,4063,0.2,8877,45.77,54020,25123,46.51
SSA-SA-FYWL.csv,2,3/13/2023,DAL,NM ,FY,2010,1272732,86392,6.7,1186340,19365,1.68,6031,0.52,18314,32.93,518998,9097,1.75,509901,3109,0.62,1496,0.3,3060,48.89,21374,7527,35.22
SSA-SA-FYWL.csv,2,3/13/2023,SFO,NV ,FY,2010,1712577,73547,4.19,1639030,16428,1.04,5685,0.36,15674,36.27,664456,7746,1.07,656710,2965,0.44,1468,0.22,3007,48.82,18681,7153,38.29
SSA-SA-FYWL.csv,2,3/13/2023,NYC,NY ,FY,2010,12451410,789711,6.13,11661699,145526,1.24,57427,0.49,141933,40.46,4317426,83420,1.81,4234006,27302,0.63,13153,0.3,27810,47.3,169743,70580,41.58
SSA-SA-FYWL.csv,2,3/13/2023,CHI,OH ,FY,2010,7187818,482496,6.28,6705322,108494,1.6,33980,0.5,109746,30.96,2723536,48695,1.75,2674841,21012,0.79,6922,0.26,20931,33.07,130677,40902,31.3
SSA-SA-FYWL.csv,2,3/13/2023,DAL,OK ,FY,2010,2322171,169848,7.15,2152323,37620,1.78,11887,0.56,35325,33.65,929314,17751,1.86,911563,6828,0.76,3121,0.35,6572,47.49,41897,15008,35.82
SSA-SA-FYWL.csv,2,3/13/2023,SEA,OR ,FY,2010,2435946,137381,5.29,2298565,32156,1.39,11307,0.49,31386,36.03,865169,9955,1.08,855214,3137,0.36,1956,0.23,3035,64.45,34421,13263,38.53
SSA-SA-FYWL.csv,2,3/13/2023,PHL,PA ,FY,2010,7965597,566965,6.88,7398632,115408,1.57,35710,0.49,112432,31.76,2789150,70136,2.45,2719014,23816,0.88,10869,0.4,23055,47.14,135487,46579,34.38
