FISCAL YEAR,STATE,NET ACCURACY RATE,SAMPLING VARIABILITY (SV) PERCENT,COMMENTS
2011,VERMONT,99.20%,0.7,
2011,VIRGINIA,97.50%,1.35,
2011,WASHINGTON,97.90%,1.21,
2011,WEST VIRGINIA,96.70%,1.61,
2011,WISCONSIN,97.50%,1.33,
2011,WYOMING,98.00%,1.04,
2011,NATIONAL,97.60%,0.25,
2012,ALABAMA,99.00%,0.88,
2012,ALASKA,98.10%,1.04,
2012,ARIZONA,97.80%,1.28,
2012,ARKANSAS,98.30%,1.13,
2012,CALIFORNIA,98.40%,1.08,
2012,COLORADO,98.70%,0.96,
2012,CONNECTICUT,97.20%,1.42,
2012,DELAWARE,99.00%,0.83,
2012,DIST OF COLUMBIA,98.10%,1.11,
2012,FLORIDA,97.50%,1.38,
2012,GEORGIA,97.70%,1.33,
2012,HAWAII,97.80%,1.19,
2012,IDAHO,99.20%,0.73,
2012,ILLINOIS,96.80%,1.54,
2012,INDIANA,98.50%,1.07,
2012,IOWA,97.80%,1.25,
2012,KANSAS,99.10%,0.79,
2012,KENTUCKY,97.80%,1.3,
2012,LOUISIANA,98.40%,1.1,
2012,MAINE,97.50%,1.38,
2012,MARYLAND,97.30%,1.44,
2012,MASSACHUSETTS,96.70%,1.49,
2012,MICHIGAN,99.30%,UL* 99.8 - LL** 98.1,SV manually computed
2012,MINNESOTA,97.90%,1.22,
2012,MISSISSIPPI,96.50%,1.68,
2012,MISSOURI,98.70%,0.97,
2012,MONTANA,97.80%,1.2,
2012,NEBRASKA,98.80%,0.9,
2012,NEVADA,97.70%,1.27,
2012,NEW HAMPSHIRE,99.30%,0.67,
2012,NEW JERSEY,97.80%,1.2,
2012,NEW MEXICO,96.90%,1.46,
2012,NEW YORK,98.10%,1.13,
2012,NORTH CAROLINA,97.70%,1.35,
2012,NORTH DAKOTA,98.00%,1.06,
2012,OHIO,96.90%,1.53,
2012,OKLAHOMA,96.20%,1.67,
2012,OREGON,98.60%,1,
2012,PENNSYLVANIA,97.70%,1.3,
2012,PUERTO RICO,99.00%,0.81,
2012,RHODE ISLAND,98.90%,0.87,
2012,SOUTH CAROLINA,96.90%,1.54,
2012,SOUTH DAKOTA,99.00%,0.78,
2012,TENNESSEE,98.60%,1.08,
2012,TEXAS,97.40%,1.37,
2012,UTAH,98.90%,0.85,
2012,VERMONT,99.20%,0.7,
2012,VIRGINIA,97.40%,1.36,
2012,WASHINGTON,98.70%,0.93,
2012,WEST VIRGINIA,97.30%,1.46,
2012,WISCONSIN,98.00%,1.18,
2012,WYOMING,98.30%,0.94,
2012,NATIONAL,97.90%,0.24,
2013,ALABAMA,97.90%,1.27,
2013,ALASKA,98.70%,0.84,
2013,ARIZONA,97.50%,1.36,
2013,ARKANSAS,98.70%,0.99,
2013,CALIFORNIA,98.60%,1.01,
2013,COLORADO,97.10%,1.43,
2013,CONNECTICUT,98.20%,1.15,
2013,DELAWARE,98.60%,0.97,
2013,DIST OF COLUMBIA,97.10%,1.37,
2013,FLORIDA,96.50%,1.59,
2013,GEORGIA,97.30%,1.46,
2013,HAWAII,97.70%,1.21,
2013,IDAHO,98.10%,1.14,
2013,ILLINOIS,97.60%,1.33,
2013,INDIANA,97.90%,1.26,
